コト,こと,1310,1310,282,-2.6917
ノ,の,1310,1310,408,-2.7847
ン,ん,1310,1310,437,-3.5653
。,。,8,8,61,-1.3115
モノ,もの,1310,1310,468,-3.9802
ト,と,164,164,282,-1.8068
ヨウ,よう,1312,1312,169,-2.2533
ノデ,ので,316,316,48,-2.3278
ホウ,方,1310,1310,48,-4.5756
、,、,10,10,151,-1.2267
コト,事,1310,1310,282,-4.9393
カ,か,359,359,468,-1.9789
・,・,5,5,203,-2.7687
タ,た,435,435,282,-1.4167
ヲ,を,156,156,356,-1.4175
ガ,が,148,148,468,-1.4621
テ,て,307,307,356,-1.5059
シ,し,610,610,258,-1.5936
デ,で,149,149,468,-1.6148
モ,も,262,262,468,-1.7239
カラ,から,297,297,356,-2.3083
マス,ます,491,491,17,-1.8643
デス,です,460,460,17,-1.8655
ナイ,ない,473,473,468,-1.8979
メ,目,1310,1310,332,-5.6594
スル,する,599,599,481,-1.9113
サ,さ,605,605,441,-1.9359
シロ,しろ,608,608,437,-1.9456
ダ,だ,453,453,471,-1.9457
シ,私,1285,1285,17,-4.2442
