ウ,う,506,506,133,-2.2404
ノ,の,368,368,408,-1.2458
ン,ん,515,515,437,-2.4192
タ,た,435,435,282,-1.4167
マス,ます,491,491,17,-1.8643
デ,で,308,308,468,-2.9431
「,「,6,6,352,-2.0388
テ,て,307,307,356,-1.5059
ウカ,うか,506,359,17,-6.6916
ハ,は,261,261,468,-1.3731
。,。,8,8,61,-1.3115
デ,で,149,149,468,-1.6148
コト,こと,1310,1310,282,-2.6917
」,」,7,7,121,-2.0554
ナ,な,454,454,287,-1.8607
サン,さん,1302,1302,420,-2.7569
ジャ,じゃ,308,261,247,-3.4000
ナイ,ない,473,473,468,-1.8979
ノ,の,1310,1310,408,-2.7847
スル,する,599,599,481,-1.9113
、,、,10,10,151,-1.2267
デ,で,458,458,468,-1.9218
サ,さ,605,605,441,-1.9359
シロ,しろ,608,608,437,-1.9456
！,！,1318,1318,244,-1.9828
イル,いる,919,919,468,-1.9884
カラ,から,147,147,356,-1.9960
マシ,まし,501,501,17,-2.0043
ト,と,150,150,282,-2.0125
ト,と,363,363,282,-2.1096
