ケド,けど,301,301,17,-2.4058
。,。,8,8,61,-1.3115
ナ,な,275,275,287,-2.5224
ネ,ね,279,279,47,-2.1699
カラ,から,297,297,356,-2.3083
ト,と,164,164,282,-1.8068
ワ,わ,291,291,36,-2.7424
」,」,7,7,121,-2.0554
ガ,が,299,299,468,-2.0560
デ,で,274,274,468,-3.8354
ナァ,なぁ,275,275,420,-4.2969
ダ,だ,453,453,471,-1.9457
バ,ば,318,318,282,-2.3431
ネン,ねん,281,281,331,-3.6938
ケレド,けれど,301,301,17,-5.0179
ゾ,ぞ,270,270,420,-3.2548
ヨ,よ,288,288,17,-2.1474
テ,て,307,307,356,-1.5059
』,』,7,7,136,-3.5069
カ,か,359,359,468,-1.9789
ノニ,のに,317,317,17,-2.7966
ナア,なあ,275,275,17,-5.2398
ガ,が,148,148,468,-1.4621
シ,し,610,610,258,-1.5936
ト,と,309,309,282,-2.2641
ナ,な,454,454,287,-1.8607
ハ,は,261,261,468,-1.3731
スル,する,599,599,481,-1.9113
サ,さ,605,605,441,-1.9359
シロ,しろ,608,608,437,-1.9456
