レ,れ,876,876,468,-2.0223
ナイ,ない,473,473,468,-1.8979
ラレ,られ,876,876,356,-3.7371
セ,せ,876,876,258,-4.2710
ズ,ず,487,487,282,-2.5580
サ,さ,605,605,441,-1.9359
レル,れる,870,870,468,-2.2380
ナイ,ない,482,482,468,-2.1746
ナク,なく,481,481,468,-2.5033
ナクッ,なくっ,481,481,17,-2.7253
レテ,れて,876,307,17,-6.2446
レタ,れた,876,435,17,-6.3748
サセ,させ,876,876,282,-6.9554
ラレル,られる,870,870,471,-3.6838
レテイル,れている,876,919,17,-7.1109
ナイヒト,ない人,473,1285,501,-5.9561
セテ,せて,876,307,17,-7.2476
ナ,な,454,454,287,-1.8607
レテイ,れてい,876,930,17,-7.5959
、,、,10,10,151,-1.2267
バ,ば,318,318,282,-2.3431
ノ,の,368,368,408,-1.2458
セル,せる,870,870,43,-4.3284
。,。,8,8,61,-1.3115
ラレテ,られて,876,307,17,-7.7370
ハ,は,261,261,468,-1.3731
ニ,に,151,151,282,-1.3747
イ,い,930,930,356,-2.0866
タ,た,435,435,282,-1.4167
ヲ,を,156,156,356,-1.4175
