、,、,10,10,151,-1.5634
ヌ,ぬ,484,484,17,-3.6378
ネ,ね,279,279,47,-2.4799
ノ,の,368,368,408,-1.5758
。,。,8,8,61,-1.6507
ズ,ず,487,487,282,-2.8888
ハ,は,261,261,468,-1.7069
ナ,な,275,275,287,-2.7792
ン,ん,515,515,437,-2.7379
デス,です,460,460,17,-2.6909
モ,も,262,262,468,-2.0460
「,「,6,6,352,-2.3719
カ,か,359,359,468,-2.2853
ニ,に,151,151,282,-1.7031
ッテ,って,167,167,17,-2.6219
デスゥ,ですぅ,460,460,420,-3.6754
デスゥゥ,ですぅぅ,460,460,17,-3.6759
デスゥゥゥ,ですぅぅぅ,460,460,17,-3.6759
サ,さ,1304,1304,441,-3.1145
ヲ,を,156,156,356,-1.7569
・,・,5,5,203,-3.2741
…,…,5,5,184,-3.2961
ダ,だ,453,453,471,-2.2407
デ,で,149,149,468,-1.9393
」,」,7,7,121,-2.3882
ト,と,164,164,282,-2.1353
コノ,この,1315,1315,468,-3.3504
ナイ,ない,473,473,468,-2.2130
ジブン,自分,1285,1285,161,-5.8093
ヒト,人,1285,1285,408,-5.8095
